Numero;lat1;lon1
825;-84.33797;10.39653
826;-84.33764;10.39898
827;-84.3369;10.39895
828;-84.33677;10.39903
829;-84.33668;10.39971
830;-84.33658;10.40078
831;-84.33748;10.40091
832;-84.31916;10.42498
833;-84.31763;10.42414
834;-84.3178;10.42397
835;-84.3193;10.4224
836;-84.31439;10.42601
837;-84.31443;10.42677
838;-84.31441;10.42716
839;-84.31442;10.42732
840;-84.31446;10.42775
841;-84.31446;10.42779
842;-84.31454;10.42807
843;-84.31491;10.42876
844;-84.31504;10.4293
845;-84.33896;10.37807
846;-84.33926;10.37811
847;-84.33938;10.37815
848;-84.33953;10.37828
849;-84.33965;10.37834
850;-84.33992;10.37839
851;-84.33043;10.41999
852;-84.33005;10.41991
853;-84.32961;10.41963
854;-84.32924;10.41937
855;-84.32905;10.41925
856;-84.32887;10.41922
857;-84.32842;10.41933
858;-84.32827;10.41935
859;-84.3281;10.41932
860;-84.32773;10.41923
861;-84.32762;10.41931
862;-84.32757;10.41934
863;-84.32752;10.41933
864;-84.32633;10.41734
865;-84.33641;10.40587
866;-84.33655;10.40552
867;-84.33664;10.40531
868;-84.33706;10.40415
869;-84.3373;10.40271
870;-84.33739;10.40195
871;-84.33748;10.40091
872;-84.33751;10.40043
873;-84.33758;10.39979
874;-84.33764;10.39898
875;-84.33786;10.39735
876;-84.33797;10.39653
877;-84.29952;10.43514
878;-84.30005;10.43517
879;-84.3331;10.37708
880;-84.33311;10.37686
881;-84.33312;10.37625
882;-84.33314;10.3758
883;-84.33316;10.37416
884;-84.32971;10.38141
885;-84.3298;10.38103
886;-84.32988;10.38075
887;-84.33013;10.37976
888;-84.33022;10.37948
889;-84.33048;10.37898
890;-84.33064;10.37852
891;-84.33087;10.378
892;-84.33105;10.37736
893;-84.3312;10.37684
894;-84.33122;10.37681
895;-84.33125;10.37679
896;-84.33139;10.3768
897;-84.33143;10.37678
898;-84.33147;10.37673
899;-84.33163;10.37591
900;-84.33164;10.37583
901;-84.33208;10.37516
902;-84.33211;10.37507
903;-84.33214;10.37439
904;-84.33214;10.37436
905;-84.33215;10.37434
906;-84.33216;10.37432
907;-84.33218;10.3743
908;-84.33221;10.37429
909;-84.33223;10.37429
910;-84.33242;10.3743
911;-84.33247;10.37428
912;-84.33249;10.37425
913;-84.33256;10.37405
914;-84.32096;10.37714
915;-84.32203;10.37692
916;-84.32243;10.37686
917;-84.32612;10.37676
918;-84.32615;10.37666
919;-84.32656;10.37627
920;-84.32679;10.37568
921;-84.327;10.37357
922;-84.32597;10.37615
923;-84.32656;10.37627
924;-84.32743;10.37644
925;-84.32933;10.37022
926;-84.32919;10.3704
927;-84.32893;10.37077
